name,price,image,url
"


                                HP 15-db1035ne laptop - AMD Athlon 300U, 4 GB,  1 TB,  AMD Radeon Vega 3 Integrated Graphics, 15.6 inch HD, DOS - Jet Black
                            

","
6,777.00
									EGP

7,559.00
												EGP
											

",https://cf2.s3.souqcdn.com/item/2020/10/02/13/18/62/81/9/item_L_131862819_717eee61344d5.jpg,https://egypt.souq.com/eg-en/hp-15-db1035ne-laptop-amd-athlon-300u-4-gb-1-tb-amd-radeon-vega-3-integrated-graphics-15-6-inch-hd-dos-jet-black-14731300075/u/
"


                                Dell Latitude 5400 Laptop - Intel Core i5-8265U, 1 TB, 8 GB RAM, 14 Inch, Intel UHD 620 Graphics, Ubuntu - Black
                            

","
10,599.00
									EGP

12,299.00
												EGP
											

",https://cf3.s3.souqcdn.com/item/2020/10/31/13/19/83/50/3/item_L_131983503_a41c084d60c1d.jpg,https://egypt.souq.com/eg-en/dell-latitude-5400-laptop-intel-core-i5-8265u-1-tb-8-gb-ram-14-inch-intel-uhd-620-graphics-ubuntu-black-14770600075/u/
"


                                Dell G5 15-5505 Gaming Laptop - Ryzen 7 4800H 8-core, 16GB RAM , 512GB SSD, AMD RX 5600M 6GB Graphics card, 15.6 Inch FHD IPS 144Hz,  4-Zone RGB Backlit Keyboard, Windows 10 - Silver
                            

","
19,599.00
									EGP

21,999.00
												EGP
											

",https://cf2.s3.souqcdn.com/item/2020/11/22/13/21/07/54/0/item_L_132107540_f1904e4545491.jpg,https://egypt.souq.com/eg-en/dell-g5-15-5505-gaming-laptop-ryzen-7-4800h-8-core-16gb-ram-512gb-ssd-amd-rx-5600m-6gb-graphics-card-15-6-inch-fhd-ips-144hz-4-zone-rgb-backlit-keyboard-windows-10-silver-14789100075/u/
"


                                Dell Inspiron 13-7300  2-in-1  Laptop - Intel 10th Gen Core i5-10210U, 8GB RAM, 512GB M.2 PCIe NVMe SSD + 32GB Optane, 13.3 inch FHD Convertible Touch Display, Fingerprint reader, Backlit English Keyboard, Windows 10 - Platinum Silver
                            

","
14,999.00
									EGP

16,999.00
												EGP
											

",https://cf4.s3.souqcdn.com/item/2020/11/12/13/20/65/44/5/item_L_132065445_07451d831e986.jpg,https://egypt.souq.com/eg-en/dell-inspiron-13-7300-2-in-1-laptop-intel-10th-gen-core-i5-10210u-8gb-ram-512gb-m-2-pcie-nvme-ssd-+-32gb-optane-13-3-inch-fhd-convertible-touch-display-fingerprint-reader-backlit-english-keyboard-windows-10-platinum-silver-14767600075/u/
"


                                Lenovo 81WB004LED IdeaPad 15IML05 Laptop - Intel core i3-10110U, 15.6 Inch FHD, 1TB HDD, 4 GB RAM, NVIDIA GeForce MX130 2GB GDDR5, Dos - Abyss Blue
                            

","
7,599.00
									EGP

8,666.00
												EGP
											

",https://cf5.s3.souqcdn.com/item/2020/07/06/13/13/74/99/1/item_L_131374991_d7502d478a0f8.jpg,https://egypt.souq.com/eg-en/lenovo-81wb004led-ideapad-15iml05-laptop-intel-core-i3-10110u-15-6-inch-fhd-1tb-hdd-4-gb-ram-nvidia-geforce-mx130-2gb-gddr5-dos-abyss-blue-14631700075/u/
"


                                Dell Inspiron G3 3500 Laptop - Intel Core i7-10750H, 512 GB SSD, 16 GB RAM, 15.6 Inch, NVIDIA GTX 1660 TI, Ubuntu - Black
                            

","
18,777.00
									EGP

21,500.00
												EGP
											

",https://cf5.s3.souqcdn.com/item/2021/02/07/13/23/06/02/5/item_L_132306025_8c454ddc51ede.jpg,https://egypt.souq.com/eg-en/dell-inspiron-g3-3500-laptop-intel-core-i7-10750h-512-gb-ssd-16-gb-ram-15-6-inch-nvidia-gtx-1660-ti-ubuntu-black-14895100075/u/
"


                                Lenovo V15-IIL 82C500T5ED laptop, intel 10th Gen core i3-1005G1, 4 GB RAM, 1 TB HDD, NVIDIA GeForce MX330 2GB GDDR5 Graphics card, 15.6 inch FHD, Dos, Carry Case Inside - Iron Grey
                            

","
8,299.00
									EGP

8,799.00
												EGP
											

",https://cf5.s3.souqcdn.com/item/2020/12/02/13/21/47/07/4/item_L_132147074_e625cfc156bb1.jpg,https://egypt.souq.com/eg-en/lenovo-v15-iil-82c500t5ed-laptop-intel-10th-gen-core-i3-1005g1-4-gb-ram-1-tb-hdd-nvidia-geforce-mx330-2gb-gddr5-graphics-card-15-6-inch-fhd-dos-carry-case-inside-iron-grey-14922300075/u/
"


                                Lenovo IdeaPad L340  Laptop - AMD Ryzen 3 3200U, 4GB RAM,  1TB HDD,  15.6 inch HD, Integrated AMD Radeon Vega 3 Graphics, DOS - Black
                            

","
6,250.00
									EGP

7,499.00
												EGP
											

",https://cf3.s3.souqcdn.com/item/2020/06/27/13/13/46/38/0/item_L_131346380_2a1d13a2c32e5.jpg,https://egypt.souq.com/eg-en/lenovo-ideapad-l340-laptop-amd-ryzen-3-3200u-4gb-ram-1tb-hdd-15-6-inch-hd-integrated-amd-radeon-vega-3-graphics-dos-black-14626900075/u/
"


                                Lenovo 81Y4010BED ideapad 15IMH05 Gaming 3 Laptop, 15.6 Inch FHD, 1TB HDD and 256GB SSD, 16 GB RAM, Intel Core i7-10750H, NVIDIA GeForce GTX 1650Ti 4GB Graphics, DOS - Onyx Black
                            

","
16,999.00
									EGP

17,999.00
												EGP
											

",https://cf4.s3.souqcdn.com/item/2021/02/04/13/23/45/15/1/item_L_132345151_c7d0aabebadc9.jpg,https://egypt.souq.com/eg-en/lenovo-81y4010bed-ideapad-15imh05-gaming-3-laptop-15-6-inch-fhd-1tb-hdd-and-256gb-ssd-16-gb-ram-intel-core-i7-10750h-nvidia-geforce-gtx-1650ti-4gb-graphics-dos-onyx-black-14936200075/u/
"


                                HP 15s-du2100TU Laptop - Intel 10th Gen Core  i3-1005G1, 4GB RAM , 1TB HDD, Intel UHD Graphics, 15.6-Inch HD, Windows 10 - Jet Black
                            

","
7,299.00
									EGP

8,399.00
												EGP
											

",https://cf3.s3.souqcdn.com/item/2021/02/09/13/23/64/71/7/item_L_132364717_0771404735fa4.jpg,https://egypt.souq.com/eg-en/hp-15s-du2100tu-laptop-intel-10th-gen-core-i3-1005g1-4gb-ram-1tb-hdd-intel-uhd-graphics-15-6-inch-hd-windows-10-jet-black-14952400075/u/
